CourseID,Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES
11,Applied Software Engineering Fundamentals Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575355/courses/course_12_applied_software_engineering_fundamentals_speciali.jpg,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,Specialization,English,"Subtitles: English, Korean, Arabic","Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ","Rav Ahuja ,Lin Joyner ,Bethany Hudnutt ,Sam Prokopchuk ,Ramesh Sannareddy ,Upkar Lidder ,Joseph Santarcangelo ,",4.33,3,Approximately 5 months to complete,Coursera,"build, career, develop, foundation, fundamentals, git, github, hands-on experience, learn, linux, python, software, software engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cloud Application Development Foundations Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575364/courses/course_14_cloud_application_development_foundations_speciali.jpg,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ","Rav Ahuja ,Upkar Lidder ,Michelle Saltoun ,Sachin Jambur ,",4.67,9,Approximately 6 months to complete,Coursera,"applications, career, cloud, cloud native developer, deploy, develop, foundational front-end and back-end skills, kickstart, learn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Python for Everybody Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575367/courses/course_15_python_for_everybody_specialization.jpg,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, Turkish, Spanish","Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ","Charles Russell Severance ,",4.63,3436,Approximately 8 months to complete,Coursera,"analyze data, data, develop, gather, learn, program, programs, python, visualize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Information Technology (IT) and Cloud Fundamentals Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575371/courses/course_16_information_technology_it_and_cloud_fundamentals_s.jpg,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ","Skills Network ,Rav Ahuja ,",4.2,5,Approximately 7 months to complete,Coursera,"cloud career, cloud computing essentials, cybersecurity, database, kickstart, master hardware, networking, new it, operating systems, programming, storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575374/courses/course_17_bi_foundations_with_sql_etl_and_data_warehousing_s.jpg,"Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,Specialization,English,"Subtitles: English, Arabic, Persian","Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ","Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",4,2,Approximately 5 months to complete,Coursera,"bi analytics success, build, dashboards, data pipelines, develop, hands-on skills, reports, springboard, warehouses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Natural Language Processing Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575379/courses/course_18_natural_language_processing_specialization.jpg,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Japanese","Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ","Younes Bensouda Mourri ,Åukasz Kaiser ,Eddy Shyu ,",4.47,107,Approximately 4 months to complete,Coursera,"break, four hands-on courses, latest techniques, master cutting-edge nlp techniques, nlp, october, update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Business Foundations Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575383/courses/course_19_business_foundations_specialization.jpg,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, Spanish, Japanese, Korean, Portuguese (Brazilian)","Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ","Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",4.6,388,Approximately 7 months to complete,Coursera,"accounting, build, core business skills, finance, foundation, marketing, operations, real business problems, solve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Meta React Native Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575386/courses/course_20_meta_react_native_specialization.jpg,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,Specialization,English,Subtitles: English,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ","Taught by Meta Staff ,",4.88,8,Approximately 8 months to complete,Coursera,"android, become, cross-platform mobile app developer, demand, develop, ios, learn, multiple operating systems, reliable , scalable and user-friendly mobile apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mathematics for Machine Learning and Data Science Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575389/courses/course_21_mathematics_for_machine_learning_and_data_science.jpg,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where youâll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,Specialization,English,Subtitles: English,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ","Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",4.5,8,Approximately 3 months to complete,Coursera,"ai, beginner-friendly specialization, calculus , linear algebra, data science, fundamental mathematics toolkit, learn, machine learning, master, mathematics, probability, statistics, toolkit, youâll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Introduction to Finance and Accounting Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575391/courses/course_22_introduction_to_finance_and_accounting_specializat.jpg,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Korean, Chinese (Simplified), Japanese","Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",4.09,34,Approximately 5 months to complete,Coursera,"accounting, basics, build, core business skills, finance, foundation, learn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Machine Learning Engineering for Production (MLOps) Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575402/courses/course_25_machine_learning_engineering_for_production_mlops.jpg,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,English,"Subtitles: English, French","Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","Andrew Ng ,Cristian BartolomA© ArA¡mburu ,Robert Crowe ,Laurence Moroney ,",4.53,59,Approximately 4 months to complete,Coursera,"become, expand, knowledge, learn, machine, machine learning expert, production engineering capabilities, productionize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Business and Financial Modeling Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575406/courses/course_26_business_and_financial_modeling_specialization.jpg,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Portuguese (Brazilian)","Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",4.44,185,Approximately 6 months to complete,Coursera,"build business and financial models, data-driven financial decisions, drive, make, use, use spreadsheet models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Business Analytics Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575410/courses/course_27_business_analytics_specialization.jpg,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Chinese (Simplified), Korean, Mongolian","Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",4.57,350,Approximately 6 months to complete,Coursera,"achieve, business data strategies, data-driven business decisions, drive, fluency, four discipline-specific courses, make",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Excel Skills for Business Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575415/courses/course_28_excel_skills_for_business_specialization.jpg,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Hungarian","Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",4.71,931,Approximately 6 months to complete,Coursera,"add, business, employability portfolio, excel skills, highly valuable asset, learn, master excel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,The Materiality of ESG Factors Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575422/courses/course_30_the_materiality_of_esg_factors_specialization.jpg,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,English,Subtitles: English,"ESG, Investment, Climate Change, Finance, social activism, ","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",4.58,12,Approximately 4 months to complete,Coursera,"analyze, base, drive, driving value, esg approach, esg factors, esg investing, essential piece, identify, impact, importance, learn, strategy, various factors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AI For Business Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575425/courses/course_31_ai_for_business_specialization.jpg,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,Specialization,English,Subtitles: English,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ","Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",4.33,3,Approximately 4 months to complete,Coursera,"advantage, ai, big data, cut, cutting-edge technologies, deployment strategy, develop, fundamentals, incorporate, learn, machine learning, ml, organization, take",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Digital Product Management Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575429/courses/course_32_digital_product_management_specialization.jpg,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,Specialization,English,"Subtitles: English, Chinese (Traditional), Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ","Alex Cowan ,",4.59,63,Approximately 5 months to complete,Coursera,"create, fundamentals, great teams, implement, master, modern approach, product management, products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Graphic Design Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575436/courses/course_34_graphic_design_specialization.jpg,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Serbian","Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ","Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",4.59,330,Approximately 6 months to complete,Coursera,"apply, compelling design, comprehensive branding project, graphic design, learn, make, principles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Security Analyst Fundamentals Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575439/courses/course_35_security_analyst_fundamentals_specialization.jpg,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ","IBM Security Learning Services ,",4.44,18,Approximately 4 months to complete,Coursera,"acquire, career, cybersecurity, cybersecurity analyst, knowledge, launch, need, work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Improve Your English Communication Skills Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575443/courses/course_36_improve_your_english_communication_skills_speciali.jpg,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Turkish, Slovak, Spanish, Japanese, Persian, Afrikaans, Hindi","Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ","Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",4.65,378,Approximately 5 months to complete,Coursera,"business success, english, english communication skills, improve, increase, speak, write",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Entrepreneurship Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772589868/courses/course_37_entrepreneurship_specialization.jpg,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ","Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",4.62,117,Approximately 6 months to complete,Coursera,"develop, fund, funded business, grow, idea, launch, own business, turn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Foundations of Positive Psychology  Specialization,https://res.cloudinary.com/dhxzdpysp/image/upload/v1772575450/courses/course_38_foundations_of_positive_psychology_specialization.jpg,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Ukrainian, Portuguese (European), Greek, Italian, Vietnamese, German, Russian, Spanish, Polish, Japanese","Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ","Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",4.57,138,Approximately 5 months to complete,Coursera,"enable, individuals, life, master strategies, organizations, positive psychology, thrive, tools, well-being",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
